observacao_id,objeto_id,amostra_codigo,profund_sup,profund_inf,solidos_totais,volume_agua,areia_total,argila_total
unidade,-,-,cm,cm,g/L,mL,g/kg,g/kg
fracionador,suspensão,Entrada: 2g/L; Saída: A; Repetição: 1,-,-,"1,97",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: A; Repetição: 2,-,-,"1,99",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: A; Repetição: 3,-,-,"1,95",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: A; Repetição: 4,-,-,"2,03",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: A; Repetição: 5,-,-,"2,01",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: B; Repetição: 1,-,-,"1,98",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: B; Repetição: 2,-,-,"2,01",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: B; Repetição: 3,-,-,"1,93",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: B; Repetição: 4,-,-,"1,91",-,-,-
fracionador,suspensão,Entrada: 2g/L; Saída: B; Repetição: 5,-,-,"1,96",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: A; Repetição: 1,-,-,"9,99",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: A; Repetição: 2,-,-,"9,75",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: A; Repetição: 3,-,-,"9,90",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: A; Repetição: 4,-,-,"9,84",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: A; Repetição: 5,-,-,"9,96",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: B; Repetição: 1,-,-,"9,99",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: B; Repetição: 2,-,-,"9,82",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: B; Repetição: 3,-,-,"9,71",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: B; Repetição: 4,-,-,"9,70",-,-,-
fracionador,suspensão,Entrada: 10g/L; Saída: B; Repetição: 5,-,-,"9,90",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: A; Repetição: 1,-,-,"48,52",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: A; Repetição: 2,-,-,"49,43",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: A; Repetição: 3,-,-,"49,57",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: A; Repetição: 4,-,-,"50,40",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: A; Repetição: 5,-,-,"49,61",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: B; Repetição: 1,-,-,"47,84",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: B; Repetição: 2,-,-,"48,72",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: B; Repetição: 3,-,-,"48,59",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: B; Repetição: 4,-,-,"48,11",-,-,-
fracionador,suspensão,Entrada: 50g/L; Saída: B; Repetição: 5,-,-,"49,39",-,-,-
